Frequency,APSD,sd
93376,1.48408e-07,7.82304e-10
93379.2,1.48323e-07,7.81807e-10
93382.4,1.48332e-07,7.82002e-10
93385.6,1.48672e-07,7.83733e-10
93388.8,1.48614e-07,7.83402e-10
93392,1.46743e-07,7.7364e-10
93395.2,1.47512e-07,7.77608e-10
93398.4,1.47386e-07,7.76853e-10
93401.6,1.47657e-07,7.78414e-10
93404.8,1.47369e-07,7.76869e-10
93408,1.48707e-07,7.83866e-10
93411.2,1.48452e-07,7.82532e-10
93414.4,1.46988e-07,7.74895e-10
93417.6,1.47136e-07,7.7565e-10
93420.8,1.48379e-07,7.82148e-10
93424,1.48826e-07,7.84549e-10
93427.2,1.47453e-07,7.77267e-10
93430.4,1.4788e-07,7.7944e-10
93433.6,1.47964e-07,7.80044e-10
93436.8,1.47968e-07,7.80038e-10
93440,1.48914e-07,7.85139e-10
93443.2,1.48477e-07,7.82716e-10
93446.4,1.48182e-07,7.81164e-10
93449.6,1.46559e-07,7.72573e-10
93452.8,1.47596e-07,7.78169e-10
93456,1.48812e-07,7.84498e-10
93459.2,1.50358e-07,7.92565e-10
93462.4,1.49289e-07,7.87029e-10
93465.6,1.48709e-07,7.84016e-10
93468.8,1.4947e-07,7.87915e-10
93472,1.50061e-07,7.91071e-10
93475.2,1.4931e-07,7.87037e-10
93478.4,1.47214e-07,7.75929e-10
93481.6,1.46594e-07,7.72651e-10
93484.8,1.47556e-07,7.77901e-10
93488,1.47968e-07,7.79976e-10
93491.2,1.48758e-07,7.8422e-10
93494.4,1.4667e-07,7.73162e-10
93497.6,1.46781e-07,7.73759e-10
93500.8,1.48374e-07,7.82262e-10
93504,1.48044e-07,7.80429e-10
93507.2,1.47966e-07,7.7999e-10
93510.4,1.48532e-07,7.83038e-10
93513.6,1.47915e-07,7.79797e-10
93516.8,1.48166e-07,7.81064e-10
93520,1.48441e-07,7.82438e-10
93523.2,1.46925e-07,7.74421e-10
93526.4,1.47108e-07,7.7541e-10
93529.6,1.47839e-07,7.79428e-10
93532.8,1.47592e-07,7.78068e-10
93536,1.47225e-07,7.76045e-10
93539.2,1.47779e-07,7.78967e-10
93542.4,1.46437e-07,7.719e-10
93545.6,1.47191e-07,7.75967e-10
93548.8,1.48185e-07,7.81214e-10
93552,1.48079e-07,7.80557e-10
93555.2,1.47237e-07,7.76103e-10
93558.4,1.4741e-07,7.77041e-10
93561.6,1.47849e-07,7.79382e-10
93564.8,1.4873e-07,7.83965e-10
93568,1.48832e-07,7.84633e-10
93571.2,1.48344e-07,7.81941e-10
93574.4,1.48839e-07,7.84545e-10
93577.6,1.4841e-07,7.82299e-10
93580.8,1.46994e-07,7.74873e-10
93584,1.47567e-07,7.7793e-10
93587.2,1.46182e-07,7.70521e-10
93590.4,1.46587e-07,7.727e-10
93593.6,1.472e-07,7.7593e-10
93596.8,1.46868e-07,7.74198e-10
93600,1.47643e-07,7.7828e-10
93603.2,1.48199e-07,7.81197e-10
93606.4,1.46894e-07,7.74318e-10
93609.6,1.45667e-07,7.67783e-10
93612.8,1.45936e-07,7.69255e-10
93616,1.46935e-07,7.74582e-10
93619.2,1.46929e-07,7.74458e-10
93622.4,1.48078e-07,7.8054e-10
93625.6,1.47912e-07,7.79673e-10
93628.8,1.48545e-07,7.83079e-10
93632,1.47694e-07,7.78481e-10
93635.2,1.4753e-07,7.77648e-10
93638.4,1.48754e-07,7.84149e-10
93641.6,1.48364e-07,7.82047e-10
93644.8,1.47633e-07,7.7818e-10
93648,1.47621e-07,7.78101e-10
93651.2,1.48517e-07,7.82859e-10
93654.4,1.48223e-07,7.81312e-10
93657.6,1.48159e-07,7.81027e-10
93660.8,1.48857e-07,7.84682e-10
93664,1.49776e-07,7.89467e-10
93667.2,1.48241e-07,7.81401e-10
93670.4,1.47653e-07,7.78332e-10
93673.6,1.47788e-07,7.79117e-10
93676.8,1.47607e-07,7.78077e-10
93680,1.4766e-07,7.78312e-10
93683.2,1.47542e-07,7.77716e-10
93686.4,1.48805e-07,7.84404e-10
93689.6,1.48264e-07,7.81602e-10
93692.8,1.4858e-07,7.83213e-10
93696,1.49189e-07,7.86356e-10
93699.2,1.49558e-07,7.88298e-10
93702.4,1.48342e-07,7.81892e-10
93705.6,1.47555e-07,7.77821e-10
93708.8,1.4776e-07,7.78969e-10
93712,1.47266e-07,7.76238e-10
93715.2,1.46365e-07,7.71541e-10
93718.4,1.48207e-07,7.81218e-10
93721.6,1.48684e-07,7.83662e-10
93724.8,1.48603e-07,7.83456e-10
93728,1.47482e-07,7.77473e-10
93731.2,1.47374e-07,7.76928e-10
93734.4,1.47475e-07,7.77443e-10
93737.6,1.47521e-07,7.7768e-10
93740.8,1.47768e-07,7.78986e-10
93744,1.46663e-07,7.73107e-10
93747.2,1.46939e-07,7.74532e-10
93750.4,1.47908e-07,7.79651e-10
93753.6,1.48284e-07,7.81713e-10
93756.8,1.48441e-07,7.82405e-10
93760,1.4905e-07,7.85656e-10
93763.2,1.47386e-07,7.76898e-10
93766.4,1.45784e-07,7.68501e-10
93769.6,1.47717e-07,7.78674e-10
93772.8,1.47711e-07,7.78612e-10
93776,1.48081e-07,7.80731e-10
93779.2,1.48062e-07,7.80506e-10
93782.4,1.47768e-07,7.79018e-10
93785.6,1.47388e-07,7.76927e-10
93788.8,1.48391e-07,7.82262e-10
93792,1.48687e-07,7.83756e-10
93795.2,1.47834e-07,7.79226e-10
93798.4,1.49108e-07,7.8607e-10
93801.6,1.4924e-07,7.86709e-10
93804.8,1.47958e-07,7.79915e-10
93808,1.47419e-07,7.77037e-10
93811.2,1.47836e-07,7.79328e-10
93814.4,1.48279e-07,7.81555e-10
93817.6,1.48082e-07,7.80683e-10
93820.8,1.47397e-07,7.77045e-10
93824,1.47645e-07,7.78377e-10
93827.2,1.46786e-07,7.73729e-10
93830.4,1.46417e-07,7.71886e-10
93833.6,1.46898e-07,7.74364e-10
93836.8,1.47428e-07,7.77113e-10
93840,1.47122e-07,7.75485e-10
93843.2,1.46612e-07,7.72911e-10
93846.4,1.45971e-07,7.69559e-10
93849.6,1.47286e-07,7.76423e-10
93852.8,1.48227e-07,7.81296e-10
93856,1.48061e-07,7.80548e-10
93859.2,1.47345e-07,7.76756e-10
93862.4,1.47107e-07,7.75428e-10
93865.6,1.47375e-07,7.76842e-10
93868.8,1.47841e-07,7.79302e-10
93872,1.48343e-07,7.81984e-10
93875.2,1.47352e-07,7.76806e-10
93878.4,1.47395e-07,7.76979e-10
93881.6,1.48346e-07,7.8203e-10
93884.8,1.48778e-07,7.84328e-10
93888,1.48686e-07,7.83706e-10
93891.2,1.47613e-07,7.78129e-10
93894.4,1.4765e-07,7.78254e-10
93897.6,1.47923e-07,7.79832e-10
93900.8,1.48378e-07,7.82108e-10
93904,1.47904e-07,7.79647e-10
93907.2,1.47376e-07,7.76878e-10
93910.4,1.48504e-07,7.82836e-10
93913.6,1.4841e-07,7.82293e-10
93916.8,1.47408e-07,7.76972e-10
93920,1.47475e-07,7.77344e-10
93923.2,1.47196e-07,7.75959e-10
93926.4,1.48037e-07,7.8034e-10
93929.6,1.48123e-07,7.80803e-10
93932.8,1.48409e-07,7.82294e-10
93936,1.47922e-07,7.79681e-10
93939.2,1.47651e-07,7.78316e-10
93942.4,1.48423e-07,7.82358e-10
93945.6,1.47704e-07,7.78597e-10
93948.8,1.48339e-07,7.81867e-10
93952,1.4821e-07,7.81341e-10
93955.2,1.48547e-07,7.8314e-10
93958.4,1.4868e-07,7.83725e-10
93961.6,1.46852e-07,7.74216e-10
93964.8,1.47995e-07,7.80139e-10
93968,1.47968e-07,7.7999e-10
93971.2,1.47067e-07,7.75233e-10
93974.4,1.4839e-07,7.82232e-10
93977.6,1.49254e-07,7.86868e-10
93980.8,1.48359e-07,7.82239e-10
93984,1.48149e-07,7.80971e-10
93987.2,1.47721e-07,7.78619e-10
93990.4,1.49389e-07,7.87475e-10
93993.6,1.48536e-07,7.83166e-10
93996.8,1.47069e-07,7.75305e-10
94000,1.47603e-07,7.7811e-10
94003.2,1.48078e-07,7.80644e-10
94006.4,1.47717e-07,7.78759e-10
94009.6,1.4797e-07,7.79942e-10
94012.8,1.4847e-07,7.82609e-10
94016,1.47794e-07,7.79022e-10
94019.2,1.47767e-07,7.78954e-10
94022.4,1.48605e-07,7.83401e-10
94025.6,1.47972e-07,7.79964e-10
94028.8,1.48995e-07,7.85365e-10
94032,1.48849e-07,7.84609e-10
94035.2,1.48898e-07,7.84853e-10
94038.4,1.48518e-07,7.82878e-10
94041.6,1.47013e-07,7.75066e-10
94044.8,1.4767e-07,7.78406e-10
94048,1.474e-07,7.77112e-10
94051.2,1.46586e-07,7.72688e-10
94054.4,1.46419e-07,7.71902e-10
94057.6,1.47135e-07,7.7556e-10
94060.8,1.47998e-07,7.80128e-10
94064,1.47306e-07,7.7648e-10
94067.2,1.47411e-07,7.77119e-10
94070.4,1.47455e-07,7.77269e-10
94073.6,1.48133e-07,7.80805e-10
94076.8,1.48548e-07,7.8306e-10
94080,1.48552e-07,7.83066e-10
94083.2,1.47315e-07,7.765e-10
94086.4,1.46775e-07,7.73723e-10
94089.6,1.48309e-07,7.81786e-10
94092.8,1.47912e-07,7.79717e-10
94096,1.47684e-07,7.78572e-10
94099.2,1.47644e-07,7.78328e-10
94102.4,1.47604e-07,7.78111e-10
94105.6,1.48357e-07,7.82203e-10
94108.8,1.47868e-07,7.79503e-10
94112,1.48194e-07,7.8116e-10
94115.2,1.4781e-07,7.79135e-10
94118.4,1.47731e-07,7.78735e-10
94121.6,1.46671e-07,7.73186e-10
94124.8,1.46339e-07,7.7146e-10
94128,1.46811e-07,7.73854e-10
94131.2,1.47738e-07,7.78773e-10
94134.4,1.47826e-07,7.7916e-10
94137.6,1.48682e-07,7.83761e-10
