Frequency,APSD,sd
4144,3.14082e-08,4.4924e-11
4147.2,3.13753e-08,4.4877e-11
4150.4,3.14089e-08,4.49254e-11
4153.6,3.14645e-08,4.50045e-11
4156.8,3.14118e-08,4.49285e-11
4160,3.14349e-08,4.49632e-11
4163.2,3.14348e-08,4.49634e-11
4166.4,3.13578e-08,4.48503e-11
4169.6,3.13243e-08,4.48042e-11
4172.8,3.13865e-08,4.48926e-11
4176,3.13931e-08,4.49023e-11
4179.2,3.14092e-08,4.49254e-11
4182.4,3.14661e-08,4.50076e-11
4185.6,3.14376e-08,4.49674e-11
4188.8,3.13562e-08,4.48499e-11
4192,3.13551e-08,4.48486e-11
4195.2,3.1386e-08,4.48924e-11
4198.4,3.1395e-08,4.49048e-11
4201.6,3.1393e-08,4.49009e-11
4204.8,3.13171e-08,4.47936e-11
4208,3.13518e-08,4.48437e-11
4211.2,3.13967e-08,4.49077e-11
4214.4,3.13793e-08,4.48822e-11
4217.6,3.14076e-08,4.49217e-11
4220.8,3.13527e-08,4.48444e-11
4224,3.13968e-08,4.49083e-11
4227.2,3.14428e-08,4.49728e-11
4230.4,3.13485e-08,4.48376e-11
4233.6,3.13372e-08,4.48231e-11
4236.8,3.13317e-08,4.4814e-11
4240,3.14473e-08,4.49811e-11
4243.2,3.13693e-08,4.48682e-11
4246.4,3.13633e-08,4.48586e-11
4249.6,3.13726e-08,4.48724e-11
4252.8,3.13614e-08,4.48555e-11
4256,3.14056e-08,4.49198e-11
4259.2,3.1487e-08,4.50388e-11
4262.4,3.14582e-08,4.49961e-11
4265.6,3.14021e-08,4.49135e-11
4268.8,3.13372e-08,4.48221e-11
4272,3.1408e-08,4.49222e-11
4275.2,3.13776e-08,4.48801e-11
4278.4,3.13228e-08,4.48019e-11
4281.6,3.13834e-08,4.48872e-11
4284.8,3.133e-08,4.48127e-11
4288,3.13179e-08,4.47954e-11
4291.2,3.13567e-08,4.48496e-11
4294.4,3.13557e-08,4.48481e-11
4297.6,3.13603e-08,4.48541e-11
4300.8,3.13439e-08,4.48329e-11
4304,3.14226e-08,4.4946e-11
4307.2,3.14321e-08,4.49585e-11
4310.4,3.13655e-08,4.48633e-11
4313.6,3.13542e-08,4.48456e-11
4316.8,3.13797e-08,4.48835e-11
4320,3.1356e-08,4.48494e-11
4323.2,3.13876e-08,4.48927e-11
4326.4,3.13737e-08,4.4873e-11
4329.6,3.13773e-08,4.48798e-11
4332.8,3.13913e-08,4.49009e-11
4336,3.13812e-08,4.48866e-11
4339.2,3.14202e-08,4.49425e-11
4342.4,3.1428e-08,4.49528e-11
4345.6,3.14243e-08,4.49473e-11
4348.8,3.14e-08,4.49127e-11
4352,3.14499e-08,4.49826e-11
4355.2,3.14631e-08,4.5002e-11
4358.4,3.14321e-08,4.49588e-11
4361.6,3.1362e-08,4.48568e-11
4364.8,3.13961e-08,4.49061e-11
4368,3.14329e-08,4.49583e-11
4371.2,3.13721e-08,4.48718e-11
4374.4,3.13559e-08,4.48493e-11
4377.6,3.14037e-08,4.49189e-11
4380.8,3.14215e-08,4.49415e-11
4384,3.14054e-08,4.49185e-11
4387.2,3.13281e-08,4.48102e-11
4390.4,3.1359e-08,4.48545e-11
4393.6,3.14154e-08,4.4935e-11
4396.8,3.14737e-08,4.50181e-11
4400,3.14056e-08,4.49191e-11
4403.2,3.14198e-08,4.49415e-11
4406.4,3.1404e-08,4.49197e-11
4409.6,3.14032e-08,4.49152e-11
4412.8,3.14698e-08,4.50107e-11
4416,3.13861e-08,4.48917e-11
4419.2,3.13725e-08,4.4874e-11
4422.4,3.14324e-08,4.49586e-11
4425.6,3.13703e-08,4.48683e-11
4428.8,3.13487e-08,4.4838e-11
4432,3.13775e-08,4.48809e-11
4435.2,3.13978e-08,4.49108e-11
4438.4,3.14845e-08,4.50328e-11
4441.6,3.14484e-08,4.4979e-11
4444.8,3.13241e-08,4.48028e-11
4448,3.13153e-08,4.47903e-11
4451.2,3.13808e-08,4.48847e-11
4454.4,3.13796e-08,4.48824e-11
4457.6,3.14251e-08,4.49466e-11
4460.8,3.14727e-08,4.50133e-11
4464,3.14628e-08,4.49992e-11
4467.2,3.14369e-08,4.49638e-11
4470.4,3.1422e-08,4.49434e-11
4473.6,3.13912e-08,4.49001e-11
4476.8,3.13684e-08,4.48677e-11
4480,3.1362e-08,4.48573e-11
4483.2,3.14345e-08,4.4962e-11
4486.4,3.14346e-08,4.49611e-11
4489.6,3.13831e-08,4.48876e-11
4492.8,3.13588e-08,4.48534e-11
4496,3.14081e-08,4.49245e-11
4499.2,3.1434e-08,4.49606e-11
4502.4,3.13832e-08,4.48888e-11
